URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","Questionnaire/CuestionarioESAVI","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/ESAVIQuestionnaireResponse","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/ESAVIQuestionnaireResponse","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/ESAVIQuestionnaireResponse","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/questionnaire-answers,4.0.1,draft,"2.16.840.1.113883.4.642.3.446",QuestionnaireAnswerCodes,Questionnaire Answer Codes,"Example list of codes for answers to questions. (Not complete or necessarily appropriate.)","StructureDefinition/ESAVIQuestionnaireResponse","SCT"
http://hl7.org/fhir/ValueSet/questionnaire-answers-status,4.0.1,draft,"required",QuestionnaireResponseStatus,QuestionnaireResponseStatus,"Lifecycle status of the questionnaire response.","StructureDefinition/ESAVIQuestionnaireResponse","hl7.fhir.r4.core"
https://paho.org/fhir/esavi/ValueSet/ClasificacionDesenlaceNaranjoVS,0.1.44,active,,ClasificacionDesenlaceNaranjoVS,Naranjo Causality Classification,"Naranjo causality classification method","Questionnaire/CuestionarioESAVI","Internal"
https://paho.org/fhir/esavi/ValueSet/ClasificacionDesenlaceVS,0.1.44,active,,ClasificacionDesenlaceVS,Outcomes After ESAVI,"Classification of Outcome After Suffering ESAVI","Questionnaire/CuestionarioESAVI","Internal"
https://paho.org/fhir/esavi/ValueSet/ClasificacionDesenlaceWHOAEFIVS,0.1.44,active,,ClasificacionDesenlaceWHOAEFIVS,WHO-AEFI causality classification,"WHO-AEFI causality classification method","Questionnaire/CuestionarioESAVI","Internal"
https://paho.org/fhir/esavi/ValueSet/ClassificacionDesenlaceWHOUMCVS,0.1.44,active,,ClassificacionDesenlaceWHOUMCVS,WHO-UMC Causality Classification,"WHO-UMC causality classification method",,"Internal"
https://paho.org/fhir/esavi/ValueSet/CodeMedDRAEnfPreviaVS,0.1.44,active,,CodigoMedDRAEnfPreviaVS,MedDRA codes to represent previous diseases in an ESAVI-PAHO,"Describes the previous diseases in an ESAVI coded in MedDRA",,"hl7.terminology.r4"
https://paho.org/fhir/esavi/ValueSet/CodeNoWhoVacunaVS,0.1.44,active,,CodigoNoWhoVacunaVS,Non-WHODrug Vaccine Code,"Vaccine non-WHODrug code",,"SCT"
https://paho.org/fhir/esavi/ValueSet/CodeWhoVacunaVS,0.1.44,active,,CodigoWhoVacunaVS,WHODrug code for the vaccine,"Standardized Coding of the Vaccine Code according to WhoDrug",,"Other"
https://paho.org/fhir/esavi/ValueSet/CodigoMedicamentoVS,0.1.44,active,,CodigoMedicamentoVS,Medication Code,"Medication Code","Questionnaire/CuestionarioESAVI","SCT"
https://paho.org/fhir/esavi/ValueSet/CodigoWhoFAbricanteVS,0.1.44,active,,CodigoWhoFabricanteVS,Vaccine Manufacturers,"WHO Vaccine Manufacturer Codes",,"Internal"
https://paho.org/fhir/esavi/ValueSet/CodigosEnfPreviaVS,0.1.44,active,,CodigosEnfPreviaVS,Previous illnesses in an ESAVI-PAHO,"Describes the previous diseases in an ESAVI coded in ICD10, ICD11 or SNOMED CT",,"SCT,hl7.terminology.r4"
